,year,state,district,winner,party,winning_ratio
0,1976,PA,1,Michael O. Myers,democrat,0.7444588562926792
0,1976,PA,2,Robert N. C. Nix,democrat,0.7434590760818073
0,1976,PA,3,Raymond F. Lederer,democrat,0.7353748191890723
0,1976,PA,4,Joshua Eilberg,democrat,0.6751945570623049
0,1976,PA,5,Richard T. Schulze,republican,0.4045108741622342
0,1976,PA,6,Gus Yatron,democrat,0.7434831716992994
0,1976,PA,7,Robert W. Edgar,democrat,0.5411622754964791
0,1976,PA,8,Peter H. Kostmayer,democrat,0.5035193510659985
0,1976,PA,9,Bud Shuster,republican,0.0
0,1976,PA,10,Joseph M. McDade,republican,0.3743573345058283
0,1976,PA,11,Daniel J. Flood,democrat,0.7082580687283727
0,1976,PA,12,John P. Murtha,democrat,0.6768438558397286
0,1976,PA,13,Lawrence Coughlin,republican,0.36594062287765594
0,1976,PA,14,William S. Moorhead,democrat,0.725516542020535
0,1976,PA,15,Fred B. Rooney,democrat,0.6538748047578998
0,1976,PA,16,Robert S. Walker,republican,0.3722636663813135
0,1976,PA,17,Allen E. Ertel,democrat,0.5112384885597645
0,1976,PA,18,Douglas Walgren,democrat,0.5945574534567172
0,1976,PA,19,William F. Goodling,republican,0.2940313111545988
0,1976,PA,20,Joseph M. Gaydos,democrat,0.7523203246503487
0,1976,PA,21,John H. Dent,democrat,0.5940463567033902
0,1976,PA,22,Austin J. Murphy,democrat,0.5574667080302874
0,1976,PA,23,Joseph S. Ammerman,democrat,0.5654424000660915
0,1976,PA,24,Marc L. Marks,republican,0.441677487084565
0,1976,PA,25,Gary A. Myers,republican,0.43211919622552597
0,1976,RI,1,Fernand J. St Germain,democrat,0.6315100079024
0,1976,RI,2,Edward P. Beard,democrat,0.772686113932093
0,1976,SC,1,Mendel J. Davis,democrat,0.6888779897156082
0,1976,SC,2,Floyd D. Spence,republican,0.4207654067264699
0,1976,SC,3,Butler C. Derrick,democrat,1.0
0,1976,SC,4,James R. Mann,democrat,0.7355096869386708
0,1976,SC,5,Kenneth L. Holland,democrat,0.5155186942138443
0,1976,SC,6,"John W. Jenrette, Jr.",democrat,0.5573698276115239
0,1976,SD,1,Larry Pressler,republican,0.19542747485442036
0,1976,SD,2,James Abdnor,republican,0.30138389130876975
